Chl_Value
86.14
93.34
86.26
70.81
55.36
34.91
25.26
11.80
20.52
63.72
75.62
21.57
40.65
52.62
11.75
32.10
46.70
17.79
22.52
18.22
18.24
20.60
17.10
13.15
16.39
61.24
69.53
108.35
87.50
66.65
53.12
26.91
12.22
25.20
58.68
64.39
61.11
43.70
51.53
29.96
41.19
35.80
25.36
32.44
16.54
14.73
26.53
18.15
11.60
17.27
48.40
54.47
107.16
86.65
66.13
48.90
13.46
14.58
22.72
55.67
72.35
27.27
31.96
52.40
35.36
35.07
41.75
18.44
36.73
19.06
14.51
35.44
15.20
14.74
15.49
39.70
41.98
74.46
62.51
50.56
76.98
26.49
15.18
23.15
40.60
44.06
28.38
30.26
51.19
40.02
33.96
40.97
16.30
17.50
22.11
15.02
26.58
16.49
15.44
16.92
72.52
76.84
67.44
58.79
50.13
74.55
25.79
15.08
17.90
42.36
46.95
31.91
29.77
37.73
55.08
35.61
38.40
16.98
31.68
20.44
16.44
34.70
17.40
18.22
18.45
36.12
39.37
66.18
60.00
53.81
31.99
26.76
35.56
24.93
55.60
41.91
21.60
27.77
41.40
24.48
30.10
33.56
17.19
21.53
26.64
16.16
34.33
19.60
13.51
17.13
37.40
38.39
58.70
57.55
56.39
40.81
21.47
30.29
24.41
58.04
39.64
18.22
16.24
29.93
19.08
33.30
34.21
14.94
22.69
19.81
14.27
34.11
20.07
11.04
14.43
31.45
35.08
50.73
50.78
50.82
31.85
24.24
26.70
29.07
36.31
35.84
26.81
33.29
26.00
15.76
35.52
30.18
16.37
23.89
20.30
16.49
31.58
18.49
15.44
19.16
32.18
35.50
70.28
64.90
59.52
47.64
31.12
26.51
22.56
57.10
57.01
56.32
22.01
24.88
16.61
32.04
29.51
15.92
22.98
22.86
14.72
30.77
17.65
16.41
18.49
88.19
97.98
105.53
86.66
67.78
47.80
24.41
21.42
27.53
49.91
89.77
54.10
38.31
54.72
25.45
26.57
32.71
15.70
28.72
18.18
18.87
37.61
17.20
13.28
17.63
