SDD_Value
0.33
0.28
0.19
0.24
0.17
0.24
0.30
0.68
0.59
0.35
0.29
0.30
0.34
0.40
0.40
0.41
0.38
0.37
0.49
0.42
0.60
0.70
0.56
0.54
0.72
0.38
0.30
0.23
0.26
0.18
0.28
0.31
0.72
0.60
0.38
0.30
0.31
0.31
0.38
0.42
0.36
0.38
0.38
0.48
0.41
0.58
0.72
0.56
0.54
0.72
0.38
0.31
0.27
0.27
0.19
0.31
0.30
0.74
0.59
0.38
0.30
0.31
0.32
0.38
0.41
0.37
0.39
0.35
0.48
0.42
0.57
0.70
0.56
0.52
0.72
0.32
0.36
0.20
0.30
0.20
0.30
0.32
0.80
0.63
0.33
0.31
0.29
0.31
0.39
0.39
0.36
0.38
0.36
0.50
0.43
0.60
0.70
0.58
0.54
0.74
0.30
0.39
0.27
0.29
0.20
0.30
0.32
0.83
0.62
0.30
0.31
0.29
0.32
0.40
0.41
0.34
0.36
0.37
0.47
0.45
0.59
0.68
0.56
0.54
0.72
0.45
0.37
0.22
0.30
0.27
0.30
0.35
0.47
0.55
0.39
0.31
0.31
0.33
0.38
0.41
0.34
0.39
0.38
0.46
0.43
0.59
0.72
0.56
0.54
0.72
0.38
0.33
0.28
0.25
0.29
0.30
0.24
0.45
0.52
0.38
0.32
0.31
0.30
0.39
0.47
0.36
0.38
0.38
0.48
0.45
0.60
0.74
0.57
0.56
0.72
0.37
0.39
0.30
0.29
0.29
0.32
0.33
0.49
0.57
0.37
0.30
0.29
0.32
0.40
0.45
0.39
0.39
0.37
0.48
0.46
0.56
0.72
0.56
0.54
0.72
0.35
0.34
0.26
0.28
0.19
0.32
0.34
0.64
0.63
0.38
0.31
0.30
0.28
0.38
0.43
0.39
0.38
0.37
0.49
0.45
0.58
0.72
0.56
0.54
0.70
0.34
0.28
0.17
0.29
0.18
0.34
0.38
0.66
0.56
0.42
0.27
0.32
0.29
0.37
0.45
0.38
0.38
0.38
0.50
0.46
0.58
0.70
0.56
0.54
0.72
